Marca;Modelo;Versão;Ano;Estado;Cidade;Latitude;Longitude
FIAT;STRADA PLUS;FREEDOM 1.3 8V FIREFLY MEC COM 2P;2021;MS;Dourados;-22,2208;-54,8058
FIAT;UNO EVO;WAY 1.0 6V FLEX MEC COM 4P;2019;MS;Dourados;-22,2208;-54,8058
FORD;KA+;SEDAN SE 1.5 16V AT FLEX MEC BAS 4P;2019;MS;Naviraí;-23,0619;-54,1917
FORD;NEW ECOSPORT;FREESTYLE 1.5 12V AT6 FLEX AUT COM 4P;2019;MS;Itaquiraí;-23,4739;-54,1872
VOLKSWAGEN;POLO HATCH;200 1.0 12V(CONFORTLINE)(TOTALFLEX) AT6 MEC COMP 4P;2020;MS;Dourados;-22,2208;-54,8058
HYUNDAI;HB20;SENSE 1.0 MT5 MEC COM 4P;2024;MS;Dourados;-22,2208;-54,8058
CHEVROLET;COBALT;LTZ 1.8 8V ECO AT6 FLEX AUT BAS 4P;2019;MS;Ponta Porã;-22,5361;-55,7258
CHEVROLET;COBALT;LTZ 1.8 8V ECO AT6 FLEX AUT COM 4P;2017;MS;Ponta Porã;-22,5361;-55,7258
CHEVROLET;ONIX;ACTIV 1.4 8V AT6 ECO FLEX AUT COM 4P;2018;MS;Dourados;-22,2208;-54,8058
FORD;NEW ECOSPORT;SE 1.5 12V AT6 FLEX AUT COM 4P;2020;MS;Rio Brilhante;-21,8019;-54,5464
HYUNDAI;CRETA;PRESTIGE 2.0 16V AT6 FLEX AUT BAS 4P;2018;MS;Dourados;-22,2208;-54,8058
HYUNDAI;HB20X;STYLE 1.6 16V AT6 AUT COM 4P;2019;MS;Fátima do Sul;-22,3789;-54,5128
TOYOTA;HILUX CD;SR 4X4 2.8 TB AT6 AUT BAS 4P;2021;SP;São José do Rio Preto;-20,82;-49,3794
HYUNDAI;CRETA;ACTION 1.6 16V AT6 AUT COM 4P;2021;MS;Três Lagoas;-20,7847;-51,7006
CHEVROLET;ONIX;1.0 12V MT6 MEC COM 4P;2023;MS;Três Lagoas;-20,7847;-51,7006
FIAT;MOBI;LIKE 1.0 8V(FLEX) MEC COM 4P;2021;MS;Três Lagoas;-20,7847;-51,7006
HYUNDAI;CRETA;PULSE PLUS 1.6 16V AT6 FLEX AUT BAS 4P;2021;MS;Água Clara;-20,4469;-52,8789
HYUNDAI;HB20;SENSE 1.0 12V MT5 MEC COM 4P;2022;PR;Maringá;-23,4253;-51,9386
CHEVROLET;ONIX;LT 1.0 8V MT6 ECO FLEX MEC COM 4P;2019;PR;Londrina;-23,31;-51,1628
FORD;KA;SE 1.0 12V FLEX MEC COM 4P;2021;PR;Londrina;-23,31;-51,1628
FORD;NEW FIESTA;SEL 1.6 16V P.SHIFT FLEX AUT COM 4P;2017;PR;Apucarana;-23,5508;-51,4608
HYUNDAI;CRETA;PRESTIGE 2.0 16V AT6 FLEX AUT COM 4P;2019;PR;Londrina;-23,31;-51,1628
HYUNDAI;HB20;UNIQUE 1.0 12V FLEX MEC COM 4P;2019;PR;Arapongas;-23,4189;-51,4239
HYUNDAI;HB20;UNIQUE 1.0 12V FLEX MEC COM 4P;2019;PR;Paranavaí;-23,0819;-52,4619
